"page","charset","bytes","chars","images","intlinks","extlinks","httpres","canonical","robots","title"
"access.html","Shift_JIS","15016","1626","18","24","1","1","no","","アクセス - Teaching Beauty鍼灸マッサージ整骨院"
"beauty.html","UTF-8","42162","7483","8","18","3","0","no","","桜新町徒歩1分｜交通事故、むちうち治療は無料で治療できます。"
"concept.html","Shift_JIS","29809","8931","4","18","1","0","no","","当院について - Teaching Beauty鍼灸マッサージ整骨院"
"esthetichtml.html","UTF-8","23648","3615","10","27","1","0","no","","桜新町徒歩1分 エステティックサロン - Teaching Beauty鍼灸マッサージ整骨院"
"funin aen.html","UTF-8","17621","2585","2","18","2","0","no","","不妊症には亜鉛が効く-ＴｅａｃｈｉｎｇＢｅａｕｔｙ鍼灸整骨院"
"funin.html","UTF-8","17621","2585","2","18","2","0","no","","不妊症には亜鉛が効く-ＴｅａｃｈｉｎｇＢｅａｕｔｙ鍼灸整骨院"
"hari.html","Shift_JIS","9387","1451","3","18","1","0","no","","鍼灸治療 桜新町徒歩1分- Teaching Beauty鍼灸マッサージ整骨院"
"incho.html","Shift_JIS","12553","2298","6","18","1","0","no","","院長紹介 - Teaching Beauty鍼灸マッサージ整骨院"
"index.html","UTF-8","23892","2704","17","25","4","3","no","","鍼灸｜桜新町のTeaching Beauty鍼灸整骨院・整体院｜メディアで話題"
"kafun.html","Shift_JIS","13963","3127","4","17","2","1","no","","花粉症治療 - Teaching Beauty鍼灸整骨院"
"kairopura.html","Shift_JIS","8991","1412","2","18","1","0","no","","カイロプラクティック 桜新町徒歩1分- Teaching Beauty鍼灸マッサージ整骨院"
"kanja.html","UTF-8","39394","7924","36","19","1","0","no","","患者様の声- Teaching Beauty鍼灸マッサージ整骨院"
"kokushi.html","UTF-8","49176","10220","20","19","4","0","no","","3年連続生徒合格率100％｜現役講師による鍼灸柔整国家試験予備校"
"kyuu.html","Shift_JIS","8196","998","2","18","1","0","no","","灸治療 お灸で病気を予防する - Teaching Beauty鍼灸マッサージ整骨院"
"kyuujin.html","UTF-8","31419","5398","1","21","1","0","no","","登録販売員 求人募集 桜新町徒歩1分"
